date,match_number,teams,group,stadium,date_dt
"Thursday, 11 June 2026",Match 1,Mexico v South Africa,Group A,Estadio Azteca Mexico City,2026-06-11
"Thursday, 11 June 2026",Match 2,South Korea v Czech Republic,Group A,Estadio Akron Zapopan,2026-06-11
"Friday, 12 June 2026",Match 3,Canada v Bosnia and Herzegovina,Group B,BMO Field Toronto,2026-06-12
"Friday, 12 June 2026",Match 4,USA v Paraguay,Group D,SoFi Stadium Inglewood,2026-06-12
"Saturday, 13 June 2026",Match 5,Haiti v Scotland,Group C,Gillette Stadium Foxborough,2026-06-13
"Saturday, 13 June 2026",Match 6,Australia v Turkey,Group D,BC Place Vancouver,2026-06-13
"Saturday, 13 June 2026",Match 7,Brazil v Morocco,Group C,MetLife Stadium East Rutherford,2026-06-13
"Saturday, 13 June 2026",Match 8,Qatar v Switzerland,Group B,Levis Stadium Santa Clara,2026-06-13
"Sunday, 14 June 2026",Match 9,Ivory Coast v Ecuador,Group E,Lincoln Financial Field Philadelphia,2026-06-14
"Sunday, 14 June 2026",Match 10,Germany v Curacao,Group E,NRG Stadium Houston,2026-06-14
"Sunday, 14 June 2026",Match 11,Netherlands v Japan,Group F,ATT Stadium Arlington,2026-06-14
"Sunday, 14 June 2026",Match 12,Sweden v Tunisia,Group F,Estadio BBVA Guadalupe,2026-06-14
"Monday, 15 June 2026",Match 13,Saudi Arabia v Uruguay,Group H,Hard Rock Stadium Miami Gardens,2026-06-15
"Monday, 15 June 2026",Match 14,Spain v Cape Verde,Group H,Mercedes-Benz Stadium Atlanta,2026-06-15
"Monday, 15 June 2026",Match 15,Iran v New Zealand,Group G,SoFi Stadium Inglewood,2026-06-15
"Monday, 15 June 2026",Match 16,Belgium v Egypt,Group G,Lumen Field Seattle,2026-06-15
"Tuesday, 16 June 2026",Match 17,France v Senegal,Group I,MetLife Stadium East Rutherford,2026-06-16
"Tuesday, 16 June 2026",Match 18,Iraq v Norway,Group I,Gillette Stadium Foxborough,2026-06-16
"Tuesday, 16 June 2026",Match 19,Argentina v Algeria,Group J,Arrowhead Stadium Kansas City,2026-06-16
"Tuesday, 16 June 2026",Match 20,Austria v Jordan,Group J,Levis Stadium Santa Clara,2026-06-16
"Wednesday, 17 June 2026",Match 21,Ghana v Panama,Group L,BMO Field Toronto,2026-06-17
"Wednesday, 17 June 2026",Match 22,England v Croatia,Group L,ATT Stadium Arlington,2026-06-17
"Wednesday, 17 June 2026",Match 23,Portugal v DR Congo,Group K,NRG Stadium Houston,2026-06-17
