Nation,Name,Position,Age,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Positioning,Penalties
Mexico,César Huerta,LW,24,73,84,68,68,75,48,70,83,0,68
Mexico,Edson Álvarez,CDM,28,78,65,58,69,72,78,79,64,0,65
Mexico,Johan Vásquez,CB,27,75,61,33,58,60,76,75,59,0,45
Mexico,Julian Quiñones,ST,28,80,88,79,70,79,36,83,89,0,78
Mexico,Mateo Chávez,LB,21,72,82,45,64,71,65,68,81,0,37
Mexico,Obed Vargas,CM,20,69,74,52,64,73,63,57,76,0,47
Mexico,Orbelín Pineda,CAM,29,77,81,74,72,81,68,69,82,0,75
Mexico,Raúl Jiménez,ST,34,77,57,79,74,75,46,79,61,0,89
Mexico,Santiago Giménez,ST,24,79,78,80,70,77,46,69,77,0,81
Jamaica,Leon Bailey,RM,28,79,87,74,73,84,38,61,91,0,71
Jamaica,Leon Bailey,RM,28,79,87,74,73,84,38,61,91,76,71
Jamaica,Ethan Pinnock,CB,32,77,60,36,56,61,78,79,54,0,44
Jamaica,Ethan Pinnock,CB,32,77,60,36,56,61,78,79,54,39,44
Jamaica,Andre Blake,GK,35,75,74,70,71,77,45,78,43,78,19
Jamaica,Andre Blake,GK,35,75,74,70,71,77,45,78,43,12,19
Jamaica,Bobby De Cordova-Reid,RM,32,72,69,70,70,74,60,58,70,0,71
Jamaica,Demarai Gray,LM,29,72,81,69,65,77,38,58,82,0,61
Jamaica,Bobby De Cordova-Reid,RM,33,72,69,70,70,74,60,58,70,75,71
Jamaica,Demarai Gray,LM,29,72,81,69,65,77,38,58,82,68,61
Jamaica,Kasey Palmer,CAM,29,70,67,66,71,74,52,70,68,0,57
Jamaica,Amari'i Bell,CB,31,70,75,50,61,67,70,73,74,0,51
Jamaica,Jamal Lowe,ST,31,70,84,69,60,72,40,69,81,0,65
Jamaica,Andre Gray,ST,34,70,78,70,61,68,30,71,75,0,70
Jamaica,Kasey Palmer,CAM,29,70,67,66,71,74,52,70,68,65,57
Jamaica,Amari'i Bell,CB,31,70,75,50,61,67,70,73,74,56,51
Jamaica,Jamal Lowe,ST,31,70,84,69,60,72,40,69,81,70,65
Jamaica,Andre Gray,ST,34,70,78,70,61,68,30,71,75,73,70
Jamaica,Di'Shon Bernard,CB,25,69,65,40,54,60,68,76,61,0,45
Jamaica,Joel Latibeaudiere,CB,25,69,53,38,57,60,70,72,53,0,34
Jamaica,Di'Shon Bernard,CB,25,69,65,40,54,60,68,76,61,52,45
Jamaica,Joel Latibeaudiere,CB,26,69,53,38,57,60,70,72,53,48,34
Jamaica,Demetri Mitchell,LM,28,68,89,62,63,67,59,67,88,0,55
