Nation,Squad_Size,Avg_OVR,Top11_OVR,Bench_OVR,Avg_Age,Attack_Score,Defense_Score,Penalty_Score
France,26,86.73,86.73,0.0,26.64,79.4,72.64,55.82
Brazil,26,86.5,86.5,0.0,29.12,77.1,75.44,56.62
Spain,26,86.18,86.18,0.0,26.64,79.83,68.13,55.0
England,26,86.0,86.0,0.0,26.88,80.02,68.44,74.38
Germany,26,85.27,85.27,0.0,28.45,74.67,74.32,49.27
Portugal,26,85.27,85.27,0.0,28.18,76.93,70.41,63.36
Netherlands,26,84.78,84.78,0.0,27.22,60.42,78.56,53.89
Argentina,26,84.42,84.64,82.0,29.83,77.66,70.87,61.75
Belgium,26,82.91,82.91,0.0,28.55,77.27,63.73,67.36
Croatia,26,80.58,80.82,78.0,29.67,74.96,67.82,64.33
Uruguay,26,80.8,80.8,0.0,28.9,71.82,75.45,59.4
Morocco,26,80.3,80.3,0.0,27.8,77.68,64.55,60.6
Turkey,26,79.92,80.27,78.0,27.0,75.34,68.18,57.0
Norway,26,80.09,80.09,0.0,27.09,73.45,68.23,60.0
Sweden,26,79.89,79.89,0.0,25.11,59.58,69.06,57.11
Senegal,26,78.93,79.45,77.0,27.79,73.25,66.45,53.29
Ivory Coast,26,79.08,79.27,77.0,25.67,57.31,72.73,54.83
United States,26,79.1,79.1,0.0,25.2,60.92,68.35,57.5
Austria,26,78.83,79.09,76.0,27.92,55.82,74.32,52.92
Colombia,26,78.83,79.0,77.0,28.67,58.93,69.82,63.17
Ecuador,26,79.0,79.0,0.0,25.25,70.15,71.62,45.0
Algeria,26,78.89,78.89,0.0,27.22,60.91,63.05,68.67
Japan,26,78.56,78.56,0.0,27.22,61.13,67.39,57.22
Scotland,26,78.2,78.2,0.0,28.5,56.3,74.3,55.4
Egypt,26,77.6,77.6,0.0,29.8,55.72,61.9,65.6
Ghana,26,77.56,77.56,0.0,26.78,58.69,65.67,53.0
Czech Republic,26,77.36,77.36,0.0,27.55,69.83,65.41,58.45
South Korea,26,76.75,76.75,0.0,29.25,71.03,62.56,45.75
Canada,26,75.85,76.55,72.0,26.46,71.65,66.36,53.69
Paraguay,26,75.75,75.75,0.0,29.25,57.08,60.94,65.62
DR Congo,26,75.64,75.64,0.0,27.82,57.8,67.81,57.64
Bosnia and Herzegovina,26,75.56,75.56,0.0,28.44,70.11,63.28,53.78
Mexico,26,75.56,75.56,0.0,26.11,57.18,65.28,65.0
Uzbekistan,26,75.5,75.5,0.0,25.5,57.3,64.75,55.5
Jordan,26,75.0,75.0,0.0,28.5,55.6,64.25,48.0
Venezuela,14,72.93,73.73,70.0,30.36,69.62,58.0,54.07
Saudi Arabia,26,73.4,73.4,0.0,27.7,69.14,67.3,48.5
Iran,26,73.0,73.0,0.0,31.0,49.5,62.5,62.5
Tunisia,26,72.9,72.9,0.0,26.2,55.88,61.8,53.3
Jamaica,14,71.21,72.09,68.0,30.21,69.62,61.55,54.29
Australia,26,71.86,71.86,0.0,28.43,47.29,73.07,48.14
Cape Verde,26,71.45,71.45,0.0,28.27,70.45,55.86,54.27
New Zealand,26,70.14,71.0,67.0,27.0,63.91,67.73,51.86
Panama,26,69.75,69.75,0.0,29.5,63.18,64.25,41.88
Haiti,26,67.0,67.0,0.0,28.38,64.23,63.0,39.75
South Africa,26,66.75,66.75,0.0,23.25,50.85,63.0,47.5
Curacao,26,66.71,66.71,0.0,25.71,55.11,60.64,48.71
Iraq,26,66.22,66.22,0.0,23.56,54.13,57.27,53.67
