Nation,PlayerName,Position,ShirtNo
Algeria,Melvin Mastil,GK,1
Algeria,Aïssa Mandi,DF,2
Algeria,Achref Abada,DF,3
Algeria,Mohamed Amine Tougai,DF,4
Algeria,Zineddine Belaïd,DF,5
Algeria,Ramiz Zerrouki,MF,6
Algeria,Riyad Mahrez,FW,7
Algeria,Houssem Aouar,MF,8
Algeria,Amine Gouiri,FW,9
Algeria,Farès Chaïbi,MF,10
Algeria,Anis Hadj Moussa,FW,11
Algeria,Nadhir Benbouali,FW,12
Algeria,Jaouen Hadjam,DF,13
Algeria,Hicham Boudaoui,MF,14
Algeria,Rayan Aït-Nouri,DF,15
Algeria,Oussama Benbot,GK,16
Algeria,Rafik Belghali,DF,17
Algeria,Mohamed Amoura,FW,18
Algeria,Nabil Bentaleb,MF,19
Algeria,Adil Boulbina,FW,20
Algeria,Ramy Bensebaini,DF,21
Algeria,Ibrahim Maza,MF,22
Algeria,Luca Zidane,GK,23
Algeria,Yacine Titraoui,MF,24
Algeria,Farès Ghedjemis,FW,25
Algeria,Samir Chergui,DF,26
Argentina,Juan Musso,GK,1
Argentina,Marcos Senesi,DF,2
Argentina,Nicolás Tagliafico,DF,3
Argentina,Gonzalo Montiel,DF,4
Argentina,Leandro Paredes,MF,5
Argentina,Lisandro Martínez,DF,6
Argentina,Rodrigo De Paul,MF,7
Argentina,Valentín Barco,MF,8
Argentina,Julián Alvarez,FW,9
Argentina,Lionel Messi,FW,10
Argentina,Giovani Lo Celso,MF,11
Argentina,Gerónimo Rulli,GK,12
Argentina,Cristian Romero,DF,13
Argentina,Exequiel Palacios,MF,14
Argentina,Nicolás González,MF,15
Argentina,Thiago Almada,FW,16
Argentina,Giuliano Simeone,FW,17
Argentina,Nico Paz,FW,18
Argentina,Nicolás Otamendi,DF,19
Argentina,Alexis Mac Allister,MF,20
Argentina,José Manuel López,FW,21
Argentina,Lautaro Martínez,FW,22
Argentina,Emiliano Martínez,GK,23
Argentina,Enzo Fernández,MF,24
